Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year
6447,6426,44.2,103276,45136,133,2.069716776,2016
6450,35907,41.8,58361,31371,4245,11.82220737,2016
6451,24434,39.9,51926,29502,3200,13.09650487,2016
6455,3323,49.1,109706,48824,96,2.888955763,2016
6456,260,57.6,-666666666,70554,43,16.53846154,2016
6457,46933,36.4,63828,35074,4888,10.4148467,2016
6460,38233,44.5,80776,41746,2740,7.166583841,2016
6461,15197,43.5,85417,40954,974,6.409159703,2016
6467,365,50.5,104750,27165,0,0,2016
6468,19784,44.1,113333,50195,703,3.553376466,2016
6469,3132,45,81615,35335,223,7.120051086,2016
6470,16612,45.1,113158,50837,614,3.696123284,2016
6471,7733,47.5,84385,46937,202,2.61218156,2016
6472,6760,45.9,85929,38326,322,4.763313609,2016
6473,24298,45.2,94344,40784,925,3.806897687,2016
6475,10174,50.6,75237,45791,511,5.022606644,2016
6477,13941,45.4,106475,50659,480,3.443081558,2016
6478,12916,44,99311,39670,430,3.329204088,2016
601,17800,38.6,11507,7229,11078,62.23595506,2016
602,39716,40,15511,8570,21615,54.42390976,2016
603,51565,40,16681,10154,25331,49.12440609,2016
606,6320,42.4,11648,5631,4047,64.03481013,2016
610,27976,40.6,17751,8589,13734,49.09207892,2016
612,63884,40.7,17208,9789,30411,47.60346879,2016
616,10321,43.9,14490,8662,5152,49.91764364,2016
617,24648,38.1,15645,8257,12921,52.42210321,2016
622,7385,45.9,16784,11671,4077,55.20649966,2016
623,42711,41.2,17134,9515,20978,49.11615275,2016
624,23945,36,16764,7650,13449,56.16621424,2016
627,33481,39.1,17206,9271,16173,48.30500881,2016
631,1689,43.8,7948,6054,1131,66.96269982,2016
637,24013,40.6,14877,8638,11762,48.98180152,2016
638,17795,39.4,12486,7114,10824,60.82607474,2016
641,28925,40.8,16181,8000,14982,51.7960242,2016
646,38292,38.9,27967,14416,13816,36.08064348,2016
647,5711,45.9,13312,7500,3370,59.00893013,2016
650,14569,37.7,15807,7242,8047,55.23371542,2016
652,3893,39.5,19497,10686,1785,45.85152838,2016
653,12125,38.4,13175,7070,7877,64.96494845,2016
656,19996,39.2,14828,7845,11725,58.63672735,2016
659,41327,39.8,18480,10116,18400,44.5229511,2016
660,16678,44.6,20589,11432,6013,36.05348363,2016
662,41986,40,16291,8663,22650,53.94655361,2016
664,15693,35.8,15749,7218,9284,59.16013509,2016
667,24492,43.4,12736,7142,14579,59.52555937,2016
669,27063,40.3,12552,7994,15378,56.82296863,2016
670,9087,39.4,13209,6901,5238,57.6427864,2016
674,41545,40.3,18549,10204,19077,45.91888314,2016
676,38488,37.5,14149,7636,21641,56.22791519,2016
677,14755,43.7,17881,9472,7068,47.90240596,2016
678,26490,39.6,15208,8384,14935,56.37976595,2016
680,50628,40.4,14575,9596,25140,49.65631666,2016
682,32433,36.5,15804,10820,17138,52.84124194,2016
683,32058,42.6,15198,9599,15961,49.78788446,2016
685,40102,41.7,13840,7577,22601,56.3587851,2016
687,32087,36,17649,8294,16601,51.73746377,2016
688,12797,40.1,14697,7930,6578,51.4026725,2016
690,5328,41.1,20668,12086,2138,40.12762763,2016
692,36700,36.6,18593,10594,17217,46.91280654,2016
693,57428,39.4,17624,9622,26396,45.96364143,2016
694,66,70.7,10550,6235,56,84.84848485,2016
698,38502,41.4,14734,8016,19116,49.64936886,2016
703,27797,39,15276,9477,14346,51.60988596,2016
704,8390,32.8,14528,7940,4229,50.40524434,2016
705,24387,40,17893,9133,11623,47.66063886,2016
707,11506,42.6,18815,8552,6431,55.89257779,2016
714,18640,37.9,16538,7699,9820,52.68240343,2016
715,3692,41.2,12229,6434,2558,69.28494041,2016
716,29351,41.2,18595,13606,14031,47.8041634,2016
717,17958,35.6,11597,9079,10567,58.84285555,2016
718,26460,36.4,18906,9789,13311,50.30612245,2016
719,30094,37.8,19247,9852,14219,47.24862099,2016
720,22148,36.7,14845,7159,12672,57.21509843,2016
723,18135,42.7,13975,8127,10279,56.68045216,2016
725,83479,39.7,20072,12196,34917,41.8272859,2016
727,57079,38.2,30890,16147,17293,30.29660646,2016
728,41245,37.1,18099,9069,19075,46.24803006,2016
729,52897,38,20805,10656,22421,42.38614666,2016
730,33899,40.4,15046,10380,18173,53.60925101,2016
731,14988,39.8,16171,9064,8384,55.9380838,2016
735,12798,40.5,20204,10609,5611,43.84278794,2016
736,49841,40.3,20571,12183,21718,43.57456712,2016
738,32409,39.9,19809,10913,13975,43.12073807,2016
739,37558,38.2,21818,11314,15486,41.23222749,2016
740,1503,37.7,14500,7999,891,59.28143713,2016
741,5042,41,20363,9255,2296,45.53748512,2016
745,53395,39.5,23344,10758,19488,36.49779942,2016
751,22110,38.6,16177,8562,12228,55.30529172,2016
754,39218,39.5,16927,10663,18266,46.57555204,2016
757,22732,36,15295,9545,11449,50.36512405,2016
765,8801,43.5,17604,9881,3148,35.76866265,2016
766,24489,37.1,18670,8706,12406,50.65947977,2016
767,35734,40.7,16342,8532,17641,49.36754911,2016
769,39630,38.7,18578,9760,19373,48.88468332,2016
771,38132,37.6,19982,9829,18161,47.62666527,2016
772,21096,36.6,15725,7607,11697,55.44653015,2016
773,19237,39.6,19658,10617,8450,43.92576805,2016
775,1493,33.2,20221,9914,679,45.47890154,2016
777,40398,37.2,19249,9467,19651,48.6434972,2016
778,46990,37.7,31070,16238,15141,32.22174931,2016
780,11597,39.2,20985,14145,4518,38.9583513,2016
782,18544,37.6,12752,6882,11249,60.66113028,2016
783,34702,37.3,14465,7762,19587,56.44343266,2016
784,41993,36.9,15383,9123,21434,51.04184031,2016
786,287,65.2,-666666666,14671,46,16.02787456,2016
791,50515,40.3,19269,11170,22607,44.75304365,2016
794,29635,34.7,14785,7379,17784,60.01012317,2016
795,45852,37.1,20459,10003,21734,47.4003315,2016
901,6541,41.7,16612,26131,2816,43.05152117,2016
906,76,41.3,-666666666,55538,5,6.578947368,2016
907,17472,47.5,31836,36291,4561,26.10462454,2016
909,5563,38.4,16219,12808,2985,53.65809815,2016
911,7227,48.7,29325,28657,2155,29.8187353,2016
912,5758,42.6,20663,15395,2289,39.75338659,2016
913,8333,27.1,6989,8087,6415,76.98307932,2016
915,28173,38.9,13573,8810,16920,60.05750186,2016
917,19005,45.3,13913,12866,10293,54.15943173,2016
918,16400,42,21030,20556,6773,41.29878049,2016
920,17576,44,25591,14263,5796,32.97678653,2016
921,36104,37.1,18334,11886,16497,45.69299801,2016
923,25745,39.8,14631,10920,14130,54.88444358,2016
924,54062,37.7,18535,11850,25640,47.42702823,2016
925,6924,31.6,10247,10511,4090,59.06990179,2016
926,101337,41.4,32583,21693,30283,29.88345816,2016
927,14229,45.2,32083,25057,3816,26.81846932,2016
934,67,38.7,66063,51703,0,0,2016
936,893,52.5,-666666666,8502,0,0,2016
949,77458,38.4,25226,12656,27562,35.58315474,2016
950,0,-666666666,-666666666,-666666666,0,,2016
951,8,-666666666,-666666666,,8,100,2016
952,9078,41.1,16577,9257,3837,42.26701917,2016
953,72712,36.6,29793,14042,22188,30.51490813,2016
956,71602,39.6,22432,11296,27492,38.39557554,2016
957,42155,38.8,23886,12442,15785,37.44514292,2016
959,48349,40.2,28215,15518,14437,29.85997642,2016
960,2429,33.2,-666666666,6539,18,0.741045698,2016
961,30655,42.1,28203,16501,8895,29.01647366,2016
962,20509,36.6,15782,9157,11245,54.82958701,2016
965,7543,39.9,15274,9839,3923,52.00848469,2016
966,15981,44.2,50570,36079,2893,18.10274701,2016
968,3293,56.6,46047,43362,354,10.75007592,2016
969,43372,40.9,53175,27852,7532,17.36604261,2016
971,28550,42.5,20860,14020,11107,38.90367776,2016
976,61084,39.3,30027,16207,18363,30.061882,2016
979,15019,49.6,35251,28053,2613,17.39796258,2016
982,14874,43,25362,13301,5189,34.88637892,2016
983,38533,40.4,27612,13459,12301,31.92328653,2016
985,33320,41,24091,13108,11302,33.91956783,2016
987,58705,37.6,31758,15522,15396,26.22604548,2016
1001,17423,45,56714,30430,1462,8.391207025,2016
1002,29970,23.2,48923,26072,8351,27.8645312,2016
1003,11296,19.9,2499,3829,54,0.478045326,2016
1005,5228,44.1,70568,32169,230,4.399387911,2016
1007,14888,42.5,80502,36359,1410,9.47071467,2016
1008,1194,48.5,67250,34505,49,4.103852596,2016
1009,237,62.2,-666666666,26150,105,44.30379747,2016
1010,3718,46.6,83273,38693,95,2.555137171,2016
1011,1523,41,74722,29951,110,7.222586999,2016
1012,528,50.5,60417,34032,60,11.36363636,2016
1013,22943,35,40876,21677,4233,18.45007192,2016
1020,30629,44.5,57851,29705,3166,10.3366091,2016
1022,2528,41.1,44701,26605,644,25.47468354,2016
1026,1018,51.2,50924,28269,45,4.42043222,2016
1027,17872,45.1,61217,33598,1774,9.92614145,2016
1028,16063,46,83003,39282,677,4.214654797,2016
1029,760,47.9,54375,32415,96,12.63157895,2016
1030,11278,44.9,64874,32812,1124,9.966306083,2016
1031,1192,43.2,39327,26153,268,22.48322148,2016
1032,590,49.3,73750,36045,15,2.542372881,2016
1033,6310,45.5,86951,39115,290,4.595879556,2016
1034,2323,46.6,82159,32783,230,9.900990099,2016
1035,5338,46.3,62634,40287,384,7.193705508,2016
1036,5190,48.7,80375,38547,256,4.93256262,2016
1037,755,50.3,80417,33913,86,11.39072848,2016
1038,2853,50.7,65887,35804,157,5.50297932,2016
1039,1194,54,74107,43845,78,6.532663317,2016
1040,40280,34.4,38829,21897,11227,27.87239325,2016
1050,2343,45.7,72386,29854,221,9.432351686,2016
1053,1697,49.8,66528,30391,251,14.79080731,2016
1054,1972,48,86771,45344,84,4.259634888,2016
1056,21352,44.2,64537,31897,1124,5.264143874,2016
1057,8773,45.5,74439,33763,496,5.653710247,2016
1060,15407,35,56128,35487,2258,14.65567599,2016
1062,10867,43.8,73913,39024,1445,13.29713812,2016
1063,563,20.3,-666666666,3134,0,0,2016
1066,12,-666666666,-666666666,,0,0,2016
1068,1825,45,85052,34288,62,3.397260274,2016
1069,8753,44,57994,30199,591,6.751970753,2016
1070,562,52.7,55208,30773,60,10.67615658,2016
1071,1271,47.9,70938,34924,17,1.337529504,2016
1072,1542,46.8,75658,36704,187,12.12710765,2016
1073,6081,48.4,90318,44278,251,4.12761059,2016
1074,228,35.2,-666666666,16890,0,0,2016
1075,17770,40.8,61821,30822,1524,8.57625211,2016
1077,9650,45.7,76576,36861,554,5.740932642,2016
1079,811,42.8,31778,24201,74,9.124537608,2016
1080,2452,33.5,51023,23489,773,31.52528548,2016
1081,1823,43.5,51182,25679,100,5.485463522,2016
1082,10612,43.2,52178,27773,1434,13.51300415,2016
1083,3148,36.3,45954,22559,245,7.782719187,2016
1084,154,61.5,68750,50727,0,0,2016
1085,41479,39,63283,29597,3679,8.869548446,2016
1086,690,19.2,-666666666,3293,0,0,2016
1088,433,53.1,61875,34560,33,7.621247113,2016
1089,28575,39.1,50649,28438,3733,13.06386702,2016
1092,1191,46.8,77150,40211,176,14.7774979,2016
1093,289,54.1,84167,48793,16,5.53633218,2016
1094,347,53.7,18454,29174,26,7.492795389,2016
1095,14569,47.6,95679,40989,547,3.754547327,2016
1096,2564,44.3,73589,33768,224,8.736349454,2016
1097,78,19.7,31250,9374,42,53.84615385,2016
1098,1117,50,77083,41124,65,5.81915846,2016
1103,2430,33.3,16760,21928,1333,54.85596708,2016
1104,23183,35.2,28590,18983,7215,31.1219428,2016
1105,11576,30.6,16455,13855,6260,54.07740152,2016
1106,15983,46.4,105822,52705,640,4.00425452,2016
1107,11474,29.1,22956,13711,5176,45.11068503,2016
1108,28449,31.4,36890,18466,8447,29.69172906,2016
1109,30139,27.4,35076,14977,8147,27.03142108,2016
1118,14293,38.6,60295,27870,2027,14.1817673,2016
1119,13091,35.4,49083,22333,1952,14.91100756,2016
1128,2695,47.6,70078,33845,58,2.152133581,2016
1129,7220,41.5,60776,27405,1010,13.98891967,2016
1151,9295,32,36541,16820,2611,28.09037117,2016
1199,0,-666666666,-666666666,-666666666,0,,2016
1201,45001,43.4,45893,28433,7152,15.89298016,2016
1220,8266,45.1,48422,27309,852,10.30728285,2016
1222,829,49.2,76944,41175,45,5.428226779,2016
1223,2247,52.2,72981,39324,129,5.740987984,2016
1224,176,49.9,36324,23039,20,11.36363636,2016
1225,3192,49,58145,32108,154,4.824561404,2016
1226,6885,47.2,57202,32405,732,10.63180828,2016
1229,102,62.8,27083,19587,5,4.901960784,2016
1230,8195,49.4,59702,35371,439,5.356924954,2016
1235,2666,47.6,60718,32438,185,6.939234809,2016
1236,1422,42.3,80385,32117,20,1.406469761,2016
1237,2755,43.3,83311,31664,123,4.4646098,2016
