year,state,state_po,county_name,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Winner
2012,WYOMING,WY,TETON,21326,36.6,69020,41755,7.676076151,Democrat
2012,TENNESSEE,TN,WARREN,39767,38.7,34008,19357,22.54633239,Republican
2012,TENNESSEE,TN,WASHINGTON,122840,39.6,42995,25381,16.72582221,Republican
2012,TENNESSEE,TN,WEAKLEY,34802,36.8,35509,20150,19.11384403,Republican
2012,TENNESSEE,TN,BENTON,16420,46,33663,18310,20.10962241,Republican
2012,TENNESSEE,TN,BLEDSOE,12898,42.2,31388,14353,20.92572492,Republican
2012,TENNESSEE,TN,CAMPBELL,40629,41.8,31312,16601,23.29370647,Republican
2012,TENNESSEE,TN,CANNON,13797,40.4,40998,18652,16.22816554,Republican
2012,TENNESSEE,TN,HOUSTON,8375,41.3,34595,18555,21.13432836,Republican
2012,MAINE,ME,LINCOLN,34440,48.1,50494,27839,10.91753775,Democrat
2012,MAINE,ME,WALDO,38761,44.2,42238,23020,15.18794665,Democrat
2012,MAINE,ME,PENOBSCOT,153742,40,43382,23307,16.36833136,Democrat
2012,MAINE,ME,PISCATAQUIS,17432,48.1,36606,21292,17.43345571,Republican
2012,MAINE,ME,ANDROSCOGGIN,107766,39.8,44826,24268,14.37002394,Democrat
2012,MAINE,ME,AROOSTOOK,71757,45.2,37434,21024,15.50928829,Democrat
2012,MAINE,ME,WASHINGTON,32832,45.9,36486,20015,19.13986355,Democrat
2012,MAINE,ME,CUMBERLAND,282143,41.1,57159,32549,10.74455152,Democrat
2012,MAINE,ME,KNOX,39848,46.6,47714,27141,11.20256977,Democrat
2012,MAINE,ME,SAGADAHOC,35394,43.8,55634,28122,9.942363112,Democrat
2012,MAINE,ME,YORK,197861,43,56656,28496,9.33938472,Democrat
2012,MAINE,ME,KENNEBEC,122022,42.7,47424,25652,12.20025897,Democrat
2012,MAINE,ME,FRANKLIN,30704,43.3,39416,21744,16.40502866,Democrat
2012,MAINE,ME,SOMERSET,52098,43.9,38141,21025,17.91047641,Democrat
2012,MAINE,ME,HANCOCK,54470,46.3,48635,28071,12.31136405,Democrat
2012,MARYLAND,MD,WORCESTER,51398,48.1,58138,32704,10.80975913,Republican
2012,MARYLAND,MD,SOMERSET,26402,36.9,41558,17168,14.94204984,Democrat
2012,MARYLAND,MD,TALBOT,37746,47.3,62942,37767,7.476288878,Republican
